timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency,IdleTime
1449844321383,335,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,6615,335,0
1449844324668,316,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,4506,316,0
1449844324677,324,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,3421,324,0
1449844324676,330,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,4463,330,0
1449844324672,341,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,4577,341,0
1449844324669,362,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,3231,362,0
1449844324671,382,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,3535,382,0
1449844328221,381,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,7601,381,0
1449844328221,372,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,5122,372,0
1449844328221,372,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,3516,372,0
1449844328217,423,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,6838,423,0
1449844328221,423,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,3587,423,0
1449844328220,446,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,6238,444,0
1449844328217,453,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,3772,453,0
1449844328220,476,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,6438,474,0
1449844328220,476,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,8074,476,0
1449844328220,488,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,5466,488,0
1449844328221,549,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,3964,549,0
1449844332006,404,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,5224,404,0
1449844332045,363,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,3821,363,0
1449844332008,442,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,5884,442,0
1449844332014,436,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,6275,436,0
1449844332046,428,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,6009,428,0
1449844332041,435,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,6308,434,0
1449844332044,432,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,7074,432,0
1449844332044,464,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,7669,464,0
1449844332040,470,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,5888,470,0
1449844332037,474,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,4855,474,0
1449844332030,542,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,6330,542,0
1449844332040,556,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,5508,554,0
1449844332057,581,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,4789,581,0
1449844332006,642,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,3728,642,0
1449844332030,620,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,5630,620,0
1449844332040,614,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,5970,614,0
1449844335901,434,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,4039,432,0
1449844335905,420,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,5559,420,0
1449844335901,428,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,5787,428,0
1449844335893,456,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,3598,456,0
1449844335899,451,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,5939,451,0
1449844335927,431,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-19,text,true,3770,431,0
1449844335927,435,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,4218,435,0
1449844335908,464,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,4775,464,0
1449844335922,465,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,6232,465,0
1449844335898,501,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,10232,500,0
1449844335912,605,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,4779,603,0
1449844335913,638,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,4701,638,0
1449844335925,651,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,4148,651,0
1449844335918,668,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,4905,668,0
1449844335901,695,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,9324,695,0
1449844335900,710,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,6384,710,0
1449844335921,691,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,3421,691,0
1449844335895,726,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,7353,726,0
1449844335900,723,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-21,text,true,9169,722,0
1449844335900,743,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,11893,742,0
1449844335910,741,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,7835,741,0
1449844339972,385,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,4470,385,0
1449844339973,386,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,5053,386,0
1449844339966,391,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-24,text,true,4209,391,0
1449844339965,392,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-21,text,true,3882,392,0
1449844339966,417,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-25,text,true,5852,417,0
1449844339920,471,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,4715,471,0
1449844339927,480,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,6500,480,0
1449844339920,502,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,4203,502,0
1449844339972,451,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,5435,451,0
1449844339924,501,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,5759,501,0
1449844339931,625,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,2961,625,0
1449844339968,612,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-23,text,true,4014,612,0
1449844340000,591,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,4598,591,0
1449844339941,662,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,7369,662,0
1449844339952,659,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,4919,659,0
1449844339912,702,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,4842,702,0
